!#
TC-001.01!#id_fname1!#!#Please enter First Name
TC-001.02!#id_fname!#!#Please enter First Name
TC-001.03!#id_fname!#q!#Invalid First Name: [a-zA-Z,.'-]{3,30}
TC-001.04!#id_fname!#qw!#Invalid First Name: [a-zA-Z,.'-]{3,30}
TC-001.05!#id_fname!#1!#Invalid First Name: [a-zA-Z,.'-]{3,30}
TC-001.06!#id_fname!#12!#Invalid First Name: [a-zA-Z,.'-]{3,30}
TC-001.07!#id_fname!#12qwe!#Invalid First Name: [a-zA-Z,.'-]{3,30}
TC-001.08!#id_fname!#qwe!#Invalid First Name: [a-zA-Z,.'-]{3,30}
TC-001.09!#id_lname!#!#Please enter Last Name
TC-001.10!#id_lname!#q!#Invalid Last Name: [a-zA-Z,.'-]{3,30}
TC-001.11!#id_lname!#qw!#Invalid Last Name: [a-zA-Z,.'-]{3,30}
TC-001.12!#id_lname!#1!#Invalid Last Name: [a-zA-Z,.'-]{3,30}
TC-001.13!#id_lname!#12!#Invalid Last Name: [a-zA-Z,.'-]{3,30}
TC-001.14!#id_lname!#12qwe!#Invalid Last Name: [a-zA-Z,.'-]{3,30}
TC-001.15!#id_lname!#1qwer!#Invalid Last Name: [a-zA-Z,.'-]{3,30}
TC-001.16!#id_email!#!#Please enter Email Address
TC-001.17!#id_email!#q!#Invalid Email Address: xx[min2]@x[min1].xx[2-6]
TC-001.18!#id_email!#qw!#Invalid Email Address: xx[min2]@x[min1].xx[2-6]
TC-001.19!#id_email!#qw@d!#Invalid Email Address: xx[min2]@x[min1].xx[2-6]
TC-001.20!#id_email!#qw@d.q!#Invalid Email Address: xx[min2]@x[min1].xx[2-6]
TC-001.21!#id_email!#qw@.q!#Invalid Email Address: xx[min2]@x[min1].xx[2-6]
TC-001.22!#id_phone!#!#Please enter Phone Number
TC-001.23!#id_phone!#q!#Invalid Phone Number: should be 10 digits
TC-001.24!#id_phone!#qw!#Invalid Phone Number: should be 10 digits
TC-001.25!#id_phone!#qw!#Invalid Phone Number: should be 10 digits
TC-001.26!#id_phone!#qwe!#Invalid Phone Number: should be 10 digits
TC-001.27!#id_phone!#qwerrrrrrr!#Invalid Phone Number: should be 10 digits
TC-001.28!#id_phone!#1!#Invalid Phone Number: should be 10 digits
TC-001.29!#id_phone!#12!#Invalid Phone Number: should be 10 digits
TC-001.30!#id_phone!#123!#Invalid Phone Number: should be 10 digits
TC-001.31!#id_phone!#1234!#Invalid Phone Number: should be 10 digits
TC-001.32!#id_phone!#12345!#Invalid Phone Number: should be 10 digits
TC-001.33!#id_phone!#123456!#Invalid Phone Number: should be 10 digits
TC-001.34!#id_phone!#1234567!#Invalid Phone Number: should be 10 digits
TC-001.35!#id_phone!#12345678!#Invalid Phone Number: should be 10 digits
TC-001.36!#id_phone!#123456789!#Invalid Phone Number: should be 10 digits
TC-001.37!#id_lname1!#12!#Invalid Last Name: [a-zA-Z,.'-]{3,30}
TC-001.38!#id_lname!#12!#Invalid Last Name: [a-zA-Z,.'-]{3,30}
